,Unnamed: 0,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_brand,CPU_base_clock_speed,PrimaryStorage,PrimaryStorageType,SecondaryStorage,SecondaryStorageType,GPU_company,UsageType
0,0,1,4,13.3,8.0,8,1.37,1339.69,3,2560.0,1600.0,0,1,1,1,2.3,128,3,0,2,2,2
1,1,1,4,13.3,8.0,8,1.34,898.94,3,1440.0,900.0,0,0,0,1,1.8,128,0,0,2,2,2
2,2,7,3,15.6,8.0,4,1.86,575.0,1,1920.0,1080.0,0,0,0,1,2.5,256,3,0,2,2,0
3,3,1,4,15.4,16.0,8,1.83,2537.45,3,2880.0,1800.0,0,1,1,1,2.7,512,3,0,2,0,0
4,4,1,4,13.3,8.0,8,1.37,1803.6,3,2560.0,1600.0,0,1,1,1,3.1,256,3,0,2,2,0
5,5,0,3,15.6,4.0,5,2.1,400.0,3,1366.0,768.0,0,0,0,0,3.0,500,1,0,2,0,0
6,6,1,4,15.4,16.0,3,2.04,2139.97,3,2880.0,1800.0,0,1,1,1,2.2,256,0,0,2,2,0
7,7,1,4,13.3,8.0,8,1.34,1158.7,3,1440.0,900.0,0,0,0,1,1.8,256,0,0,2,2,2
8,8,2,4,14.0,16.0,5,1.3,1495.0,1,1920.0,1080.0,0,0,0,1,1.8,512,3,0,2,3,0
9,9,0,4,14.0,8.0,5,1.6,770.0,1,1920.0,1080.0,0,1,0,1,1.6,256,3,0,2,2,2
10,10,7,3,15.6,4.0,4,1.86,393.9,3,1366.0,768.0,0,0,0,1,2.5,500,1,0,2,2,1
11,11,7,3,15.6,4.0,4,1.86,344.99,1,1920.0,1080.0,0,0,0,1,2.0,500,1,0,2,2,1
12,12,1,4,15.4,16.0,8,1.83,2439.97,3,2880.0,1800.0,0,1,1,1,2.8,256,3,0,2,0,0
13,13,4,3,15.6,4.0,5,2.2,498.9,1,1920.0,1080.0,0,0,0,1,2.0,256,3,0,2,0,0
14,14,1,4,12.0,8.0,8,0.97,1262.4,3,2304.0,1440.0,0,1,1,1,1.2,256,3,0,2,2,2
15,15,1,4,13.3,8.0,8,1.37,1518.55,3,2560.0,1600.0,0,1,1,1,2.3,256,3,0,2,2,2
16,16,4,3,15.6,8.0,5,2.2,745.0,1,1920.0,1080.0,0,0,0,1,2.7,256,3,0,2,0,0
17,17,1,4,15.4,16.0,8,1.83,2711.2200000000007,3,2880.0,1800.0,0,1,1,1,2.9,512,3,0,2,0,0
18,18,10,3,15.6,8.0,4,2.2,499.0,1,1920.0,1080.0,0,0,0,1,2.4,1,4,0,2,3,0
19,19,4,4,13.3,8.0,5,1.22,979.0,1,1920.0,1080.0,1,1,0,1,1.6,128,3,0,2,2,2
20,20,2,2,11.6,2.0,5,0.98,229.0,3,1366.0,768.0,0,0,0,1,1.44,32,0,0,2,2,2
21,21,10,1,15.6,8.0,5,2.5,999.0,1,1920.0,1080.0,0,1,0,1,2.5,128,3,1024,0,3,0
22,22,7,3,15.6,4.0,4,1.86,258.0,3,1366.0,768.0,0,0,0,0,1.5,500,1,0,2,0,0
23,23,4,0,13.3,8.0,5,1.62,819.0,1,1920.0,1080.0,1,0,0,1,1.6,256,3,0,2,2,2
24,24,7,4,15.6,8.0,5,1.91,659.0,1,1920.0,1080.0,0,0,0,1,1.8,256,3,0,2,2,2
25,25,4,3,15.6,4.0,5,2.3,418.64,3,1366.0,768.0,0,0,0,1,2.0,1,4,0,2,2,1
26,26,1,4,13.3,8.0,3,1.35,1099.0,3,1440.0,900.0,0,0,0,1,1.6,128,0,0,2,2,2
27,27,4,3,15.6,8.0,5,2.2,800.0,1,1920.0,1080.0,0,0,0,1,1.6,256,3,0,2,0,0
28,28,4,4,15.6,8.0,5,1.88,1298.0,1,1920.0,1080.0,0,0,0,1,1.9,256,3,256,3,2,2
29,29,7,3,17.3,8.0,5,2.5,896.0,1,1920.0,1080.0,0,0,0,1,1.6,1,4,0,2,3,0
30,30,3,3,15.6,4.0,5,1.89,244.99,1,1920.0,1080.0,0,0,0,1,1.44,64,0,0,2,2,1
31,31,2,3,14.0,2.0,5,1.65,229.0,3,1366.0,768.0,0,0,0,0,1.5,32,0,0,2,0,0
32,32,7,3,17.3,4.0,5,2.71,439.0,1,1920.0,1080.0,0,0,0,0,2.5,500,1,0,2,0,0
33,33,4,4,13.3,16.0,5,1.2,1869.0,2,3200.0,1800.0,1,0,0,1,1.8,512,3,0,2,2,0
34,34,1,4,13.3,8.0,3,1.35,998.0,3,1440.0,900.0,0,0,0,1,1.6,256,0,0,2,2,2
35,35,10,3,14.0,4.0,5,1.44,249.0,3,1366.0,768.0,0,0,0,1,1.1,64,0,0,2,2,2
36,36,0,3,15.6,4.0,2,2.1,367.0,3,1366.0,768.0,0,0,0,1,2.7,1,4,0,2,2,1
37,37,4,3,17.3,8.0,5,2.8,979.0,1,1920.0,1080.0,0,1,0,1,1.6,128,3,1024,0,0,0
38,38,7,3,15.6,4.0,5,1.86,488.69,3,1366.0,768.0,0,0,0,1,2.5,1,4,0,2,2,1
39,39,7,3,15.6,8.0,5,2.1,879.0,1,1920.0,1080.0,0,0,0,1,1.6,256,3,0,2,3,0
40,40,2,3,15.6,4.0,2,2.0,389.0,1,1920.0,1080.0,0,0,0,1,2.0,1,4,0,2,2,1
41,41,4,1,15.6,16.0,5,2.65,1499.0,1,1920.0,1080.0,0,1,0,1,2.8,256,3,1024,0,3,0
42,42,2,3,15.6,8.0,2,2.3,522.99,3,1366.0,768.0,0,0,0,1,2.5,1,4,0,2,3,0
43,43,0,3,15.6,4.0,5,2.2,682.0,1,1920.0,1080.0,0,1,0,1,1.6,256,3,0,2,2,2
