,Unnamed: 0,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_brand,CPU_base_clock_speed,PrimaryStorage,PrimaryStorageType,SecondaryStorage,SecondaryStorageType,GPU_company,UsageType
0,0,Apple,Ultrabook,13.3,8.0,macOS,1.37,1339.69,Standard,2560.0,1600.0,No,Yes,Yes,Intel,2.3,128,GB SSD,0,No,Intel,Work/Business
1,1,Apple,Ultrabook,13.3,8.0,macOS,1.34,898.94,Standard,1440.0,900.0,No,No,No,Intel,1.8,128,GB Flash Storage,0,No,Intel,Work/Business
2,2,HP,Notebook,15.6,8.0,No OS,1.86,575.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,256,GB SSD,0,No,Intel,Programming
3,3,Apple,Ultrabook,15.4,16.0,macOS,1.83,2537.45,Standard,2880.0,1800.0,No,Yes,Yes,Intel,2.7,512,GB SSD,0,No,AMD,Programming
4,4,Apple,Ultrabook,13.3,8.0,macOS,1.37,1803.6,Standard,2560.0,1600.0,No,Yes,Yes,Intel,3.1,256,GB SSD,0,No,Intel,Programming
5,5,Acer,Notebook,15.6,4.0,Windows 10,2.1,400.0,Standard,1366.0,768.0,No,No,No,AMD,3.0,500,GB HDD,0,No,AMD,Programming
6,6,Apple,Ultrabook,15.4,16.0,Mac OS X,2.04,2139.97,Standard,2880.0,1800.0,No,Yes,Yes,Intel,2.2,256,GB Flash Storage,0,No,Intel,Programming
7,7,Apple,Ultrabook,13.3,8.0,macOS,1.34,1158.7,Standard,1440.0,900.0,No,No,No,Intel,1.8,256,GB Flash Storage,0,No,Intel,Work/Business
8,8,Asus,Ultrabook,14.0,16.0,Windows 10,1.3,1495.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.8,512,GB SSD,0,No,Nvidia,Programming
9,9,Acer,Ultrabook,14.0,8.0,Windows 10,1.6,770.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,1.6,256,GB SSD,0,No,Intel,Work/Business
10,10,HP,Notebook,15.6,4.0,No OS,1.86,393.9,Standard,1366.0,768.0,No,No,No,Intel,2.5,500,GB HDD,0,No,Intel,Uni/School
11,11,HP,Notebook,15.6,4.0,No OS,1.86,344.99,Full HD,1920.0,1080.0,No,No,No,Intel,2.0,500,GB HDD,0,No,Intel,Uni/School
12,12,Apple,Ultrabook,15.4,16.0,macOS,1.83,2439.97,Standard,2880.0,1800.0,No,Yes,Yes,Intel,2.8,256,GB SSD,0,No,AMD,Programming
13,13,Dell,Notebook,15.6,4.0,Windows 10,2.2,498.9,Full HD,1920.0,1080.0,No,No,No,Intel,2.0,256,GB SSD,0,No,AMD,Programming
14,14,Apple,Ultrabook,12.0,8.0,macOS,0.97,1262.4,Standard,2304.0,1440.0,No,Yes,Yes,Intel,1.2,256,GB SSD,0,No,Intel,Work/Business
